No Entidade Certificadora;Nu Ano;Nu Nota Comp1;Nu Nota Comp2;Nu Nota Comp3;Nu Nota Comp4;Nu Nota Comp5;Nu Nota Redacao;Q01;Q02;Q03;Q04;Q05;Q06;Q07;Q08;Q09;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q31;Q32;Q33;Q34;Q35;Q36;Q37;Q38;Q39;Q40;Q48;Sg Uf Prova;Tp Sexo;Tx Gabarito Ch;Tx Gabarito Cn;Tx Gabarito Lc;Tx Gabarito Mt;Tx Respostas Ch;Tx Respostas Cn;Tx Respostas Lc;Tx Respostas Mt;Co Prova Ch;Co Prova Cn;Co Prova Lc;Co Prova Mt;Co Uf Prova;In Aprovado Ch;In Aprovado Cn;In Aprovado Lc;In Aprovado Mt;In Prova Ch;In Prova Cn;In Prova Lc;In Prova Mt;Nu Idade;Nu Inscricao;Nu Nota Ch;Nu Nota Cn;Nu Nota Lc;Nu Nota Mt;Q10;Q11;Q12;Q13;Q14;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30;Q41;Q42;Q43;Q44;Q45;Q46;Q47;Tp Certificacao;Tp Presenca Ch;Tp Presenca Cn;Tp Presenca Lc;Tp Presenca Mt;Tp Status Redacao
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.6;1.4;1.8;8;C;A;B;A;C;C;C;A;K;E;D;A;D;B;K;F;A;;B;;A;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;CDBCAACCCBDBADADBDADDBCAAACABA;DBDABACCCCDBBCCDBADCBADDBCAAAB;ABBDBAACDADBAABABADCCAABBADDCD;ABCCDDCABCCACBADACCCADDBCBDBAA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;21;180006274685;105;119;115;101;3;4;5;2;2;5;0;5;3;0;2;2;5;5;2;2;0;5;0;1;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS TUCURUÍ;2019;1.4;1.2;1.2;1;2;6.8;B;B;B;F;C;B;B;A;K;E;A;A;D;C;J;F;A;;B;;A;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BAABCCBACCACBCABCABCDDABBBBCAD;ADBACABBACDCDBAAABBCBCBAAAABCC;ACBABBDCDDAAAAABABDCADBBCCABAC;CDBCDBACCBCBBDCBBBBCBBBABCABDA;201912;201909;201911;201910;15;0;0;1;0;1;1;1;1;23;180005440647;82;84;106;93;5;5;5;5;5;5;5;5;5;0;5;5;5;0;0;0;0;5;5;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.6;1.6;2;8.4;D;A;B;G;B;B;B;A;G;E;B;A;C;C;G;C;A;;A;;B;A;A;A;B;A;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCADBDCDBBCDAAABBDDCCBCCDCBD;CBDDCACBCBDDDDBACBBCBDBDADBBAD;ACBCCADCABBADDBCBBABDACACDD*CC;BAACCDDA*AAACCDDAACDAADADADAAC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;23;180006275043;134;108;114;113;5;5;5;5;5;5;5;5;5;0;5;5;5;5;0;0;0;5;5;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.6;1.8;1.6;1.6;1.8;8.4;C;B;B;C;B;C;A;A;K;A;B;A;B;B;K;E;A;;A;;B;A;A;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCCCCBBAADBBAAAABCAADCCADCACCD;DBDDCDCBCCDBABCABBCBBABDADBAAD;ABBDBDCBCCDBAABABBDDCABBCADACC;ABABADDAAACBACCCAABCBADBCABDDD;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;20;180006343097;120;132;122;122;5;3;3;5;5;5;4;3;1;1;5;4;5;5;0;2;0;1;0;0;4;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.6;1.8;2;1.8;1.8;9;C;A;B;B;C;D;B;A;D;E;C;D;B;B;J;F;A;;A;;B;A;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCBBCBCBBCDDAABADBCCDCCACBA;DCCACDABCCDBDCCCCBCABAADADDDAD;ABBDCDCDDADADADAABDDDCBBCADACC;BDBBADDACBCCADDCABBCCCBADCBACD;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;27;180005207458;134;148;131;119;5;5;5;5;5;5;5;5;2;1;5;5;5;5;5;5;1;5;5;2;5;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.8;1.4;1.4;1.6;7.6;A;B;B;C;G;C;C;A;D;E;D;A;D;C;F;E;A;;A;;B;A;B;B;B;A;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCBBBCABBCDAAABADDCBDCAACBD;DCCBCCCBCCDDBCCCAACCBADBADDAAD;ACDDDACBDADCDDADABDCDCBBCADDCC;BDACDADDCDCCCAAAABC.CCDDCACDBA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;49;180006267453;140;128;126;102;5;5;5;5;5;5;5;5;0;0;5;5;4;5;0;0;0;5;5;5;5;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ITAITUBA;2019;1.2;1.4;1.2;1;0.8;5.6;B;A;B;F;F;C;B;A;D;D;B;A;D;C;J;G;A;;A;;B;A;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DC*DAABCCCDCACBCBCCDCBDCBACBBD;AADDDABAACDDCCACCACABBCDCAABDD;CBCDACAABBACDCBDDCCBCBDCBBDBBC;ADABABDBDCBADDCDCBADDCACCDCBCB;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;27;180005407548;71;85;85;84;5;5;5;5;5;5;5;5;5;1;5;5;5;5;0;0;3;5;0;0;4;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.2;1.2;0;5.4;C;A;B;B;B;B;A;A;G;E;B;A;D;C;J;F;A;;B;;B;A;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DACAABBABCABCAAACADCACDBCBDCAB;ADAADDDCACDBBCCACBCCABDDADDDAD;DCBCBCCCDADAAABCADDCCCBCCADBDB;BDACABCBDABABDABCCBAACCA*ACBCD;201912;201909;201911;201910;15;0;1;1;0;1;1;1;1;25;180006285258;98;139;116;89;3;1;5;3;0;5;5;0;0;5;0;5;1;4;0;0;5;0;0;0;3;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.6;1.2;1.2;1.6;6.8;C;A;B;D;D;B;A;A;L;A;C;A;C;A;J;E;A;;B;;B;A;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BCACBBBAABACCAABAABCAACBBACCCC;ACDABABCCCDBBCCACBAABBBDADCAAD;BBBAAAAAAABDAAADACAAAAAAAAAACB;CACBACCBDCCBACCAACBADDDADDADCA;201912;201909;201911;201910;15;0;1;0;0;1;1;1;1;18;180003587706;95;133;77;99;0;0;0;5;0;5;5;5;0;0;5;5;5;0;0;0;0;0;0;0;5;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1.6;1.4;1.4;1.4;0.6;6.4;B;A;B;A;C;B;B;A;G;D;B;A;B;C;K;F;A;;B;;B;A;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DBBCABBDAABBCDAADBADDCCBCAACBC;ABCDBADBACDBACCCBBDCAADDADDAAD;ADBDBDCCDADBABABBBDCDCBACBDACC;BDCCADDAABCABBCDCABABBDBBCCAAC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;24;180005316795;146;149;139;159;5;5;2;5;5;5;4;5;4;0;5;5;5;4;1;2;0;5;1;0;5;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.2;1.4;1.6;7.2;B;A;B;C;C;D;A;A;J;A;A;A;D;D;J;B;A;;B;;B;A;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCAACDCAABCDAABABADBADCACCBC;ABBADACBCBDBDCCCBBAABBCDADC*AD;BCBACCDABADBDCDABABABACBCCBACC;AABCABCAABDCACDCBCACABDACBCDAA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;18;180006363927;114;131;112;102;5;5;5;5;5;5;5;5;4;0;5;5;5;5;5;0;0;5;0;4;4;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.6;1.4;1.4;1.8;7.6;B;A;B;G;C;B;A;A;L;A;B;A;D;A;J;E;A;;B;;B;A;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DDBCCBBACDBBCAAADCBDADCBBCABBA;DDDCBACCCCBABCCCCBCBBABCCDDDAD;BBBDBACABADAABBDBADDCCDBCBCAAC;BBCBCDCAACCBDCDCACCCAADBDCBBAC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;19;180005448372;122;135;112;113;4;3;5;5;3;5;3;4;2;4;5;5;4;3;2;4;2;2;0;0;5;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS TUCURUÍ;2019;1.6;1.6;1.2;1.6;0.6;6.6;D;A;B;B;B;C;B;A;D;E;B;D;D;C;J;F;A;;B;;B;A;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCCABBACBBCDAADBCDBCCADAACAC;CDCDBADBCCDBBCCCABBCBADDADDAAB;ACBDBDBADADADDAABCBADCBBCBDACC;BACDADBAACDBBDABACCCACDACDADAB;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;24;180003587847;136;156;137;116;5;5;5;5;4;5;5;5;0;0;0;5;5;0;0;0;0;5;0;3;5;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ITAITUBA;2019;1.2;1.8;1.4;1.4;0;5.8;D;C;B;F;C;B;B;A;G;E;A;A;B;C;J;E;A;;B;;B;A;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;CBCCAACAABABCAAACAACACCBDAADBC;DADCBAACCADBDCCCBBCDDDBDAADABB;ACBDAADCDCDAACCADBADBCABCDCAAA;BDABCDDACAACACBCADBABADAABCBAC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;23;180005206446;106;123;106;113;5;5;5;5;5;5;1;5;5;0;5;5;5;0;0;0;1;4;1;3;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.8;1.6;1.2;0;5.8;B;A;B;G;B;A;A;A;A;A;A;A;D;D;F;B;A;;A;;B;B;A;A;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BABCABBBADCBCBAAABCCDCCBDCACBA;ABDBBACBCCDABCCCCABAAADDADDDAD;AD*DBACDBDBBADAABAABCAABCBDBDD;CDBCCBDBDAAABCDCAAAABACACCCCDC;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;36;180006242837;126;139;104;82;5;5;5;5;5;3;3;5;5;4;5;5;5;5;3;3;3;3;4;3;3;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.6;1.6;1.6;8;D;A;B;G;A;B;B;A;D;D;B;A;C;C;K;B;A;;A;;B;B;A;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCCBBCBBBCCDABBDBDCCADBACDD;ACCBDACBCADBDCBCCBACAABDADADAA;ACBCBADBBAAAACBABAADDCAACBDCCA;BDBCADBAADDBDDCDCCABBADCCCADDA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;28;180006264525;123;128;115;115;5;5;5;5;5;5;3;5;3;1;3;5;5;5;1;1;1;4;4;2;1;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.2;1.2;1.8;7;B;A;B;A;C;B;B;A;G;E;A;B;A;C;I;E;A;;A;;B;B;A;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;ACAACDDBAAADBCAACBBCCDDBACABBA;BADABACBCBBBACCCCABDBBBCADDDAD;ACBADAACDBDCAAABCDCCBAAACADABC;ABCBADCBADBABDDABABCCCAACBCBDA;201912;201909;201911;201910;15;0;1;1;0;1;1;1;1;22;180006295585;78;132;107;99;4;1;5;5;2;5;4;5;4;0;5;5;5;4;0;0;2;5;0;3;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BREVES;2019;1.4;1.4;1.2;1.2;1.8;7;C;A;B;A;E;C;A;A;G;A;D;A;A;A;K;F;A;;A;;B;B;A;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCAABDBCABCDAAAAADDBCDDCA.BD;CBDDCABBCCDBBCCCCBBDBABDBDADAB;ACBCDCCBDBDBDDAABAAA*ABBCADACC;BDABADDACDDCABDBCADCACDBBBCCAC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;29;180003585060;118;149;123;144;5;5;5;5;5;5;5;5;5;0;5;5;5;3;4;4;0;3;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.2;1.4;2;7.4;A;B;B;B;D;B;B;A;E;E;A;A;B;C;G;D;A;;A;;B;B;A;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BACBCDBCDDDABACABBBCAABBCBCABA;AADDAABAABCDDCABCCABBADBADADAD;AABCCAACAABAAACCDADADBDBCACCBA;BCBBADDBCBDBDCDDBDABAACCBBADAC;201912;201909;201911;201910;15;0;1;1;1;1;1;1;1;19;180006317569;76;105;100;122;5;0;5;5;5;5;5;5;5;0;5;5;5;5;0;2;0;5;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1;1.2;1.2;1.2;0;4.6;B;A;B;B;B;B;A;A;G;B;B;A;C;A;J;F;A;;A;;B;B;B;A;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCAAABBCBBDDDAAAAADBCCBCACBC;ACCBDACDACDBDCCCBDADBADDDCCDAC;BCBABACDDCDAABAAACCCCABCCADDCC;CBCBCDDDCBCBBCACCBBCBADDBACDAA;201912;201909;201911;201910;15;1;1;0;1;1;1;1;1;22;180005409667;119;120;117;128;4;5;2;3;1;5;4;5;1;0;4;5;5;3;2;4;3;5;5;4;4;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.6;1.8;1.6;8.2;B;B;B;C;G;B;B;A;K;E;D;A;C;C;H;B;A;;A;;B;B;B;A;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCABCCBABBDCDDBBAADCCABBAADD;DB*ADACBCCDBACCCCBBBBADBDDDDAD;ABBACDCCDADBADBABADCDCDBCBDDCC;BCACADBBCBCCADDAACBCCCDCBDCBBC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;25;180005431872;108;141;131;127;5;5;5;5;5;5;4;5;4;4;5;4;2;4;0;0;4;3;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1.6;1;1.4;1.4;1.2;6.6;B;A;B;A;A;C;C;A;E;C;B;A;B;C;J;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCCDBBCADBACBDCCDACBCDBBDACB;CBDCDACBDCDDAABCCBCCDBDDAAADDC;ACCACDDDBCACCDCADDCCACBDCACCAA;CACBBDBCBBDBACBBBABCDBACCDDBCA;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;48;180005383859;95;93;94;91;0;4;0;3;0;5;5;5;0;0;5;0;4;0;0;0;2;5;4;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1;1.2;1.6;1;6.2;B;A;B;B;C;C;B;A;B;E;B;D;D;C;I;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BCAACCDABBDBAACDBADCBBAC*AACBA;AADCBACBCDDBACAACBABBADBACBDBA;CCBDCAADA*AADABACABCCACBCAACCD;ACABCBCBDCCBDBABABCCBDADDCADAC;201912;201909;201911;201910;15;0;1;1;0;1;1;1;1;19;180006345921;87;100;101;78;3;0;5;5;4;5;2;5;0;0;4;0;0;3;0;0;0;1;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.4;1.2;1.2;0;5.2;C;A;B;B;B;B;B;A;K;A;B;A;A;D;I;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCAAABCBBCCBADCAADCCADDAABA;ACDACDCBCCDABCCACCDACBCDDDADAD;CCBADACACBDAABDABAABCDCBCADDCA;A*ABCDABBBBDBCBDACADBADACCABAA;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;24;180005373679;117;126;111;99;2;5;5;5;3;5;5;5;5;0;5;5;5;5;0;3;0;5;3;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.4;1.6;2;8;B;A;B;G;G;B;B;A;G;C;D;A;A;B;L;B;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCAADABCCBCDAABCBCDCCBCCCCBC;CADDBACDCCDBBCCCCBDDBADAADDDAD;ABBDBCAAABDADBBAAADBDCDBCADAAA;BADCADBABABCDDBBACDAAADBBAABAB;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;24;180006086876;123;149;111;122;5;5;5;5;5;5;3;4;2;2;3;5;5;5;3;2;2;5;5;3;2;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1.6;1.6;1.6;1.6;0.8;7.2;B;A;B;A;B;C;C;A;C;E;B;A;C;C;J;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCABBBAABBDDACBBADDBCDCBACBD;BACADABCCCBDACCCACBCBCBDADABAD;ADBCADCCDADADABCAABCCABBCADACC;CDBACDCDBCDCABDDBCBACCDDDCABBC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;30;180005282182;128;122;133;102;5;5;5;5;5;5;5;5;3;2;5;5;5;5;2;2;2;5;2;2;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;0.8;1.6;0.8;0.4;1.6;5.2;C;A;B;A;A;C;B;A;D;D;B;A;C;B;K;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DBBCADBDDDABBDDADBADDDCAABACBB;DBDDBACBCCDDABCACAACBADBBDAAAA;ACBABCDABBDDBACCABDCDADBCADACC;BDCCADCBACCADCBDCBDAACDADABCCC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;24;180006206560;121;111;115;113;3;2;4;4;4;5;3;5;3;1;5;3;4;4;3;3;2;3;2;2;2;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;2;1.4;1.6;1.6;8.2;B;A;B;C;B;B;A;A;L;A;A;A;D;C;K;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCABBCBDCBBDAAAACCDCCDCABCDA;DABABDCBCBDBDBCAABADACCBADAAAB;ABBDBADBADDBADABCADCBDBBCADDCC;BCDBADDBAACDDCCCACBCCCCDAACBAD;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;28;180003583922;120;118;117;111;0;0;5;2;0;5;5;5;5;0;5;5;5;5;0;0;0;5;5;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1.6;1.6;1.6;1.6;1.6;8;B;B;B;G;G;C;C;A;D;E;A;A;A;B;J;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DCBBCABBBDDCCCAAACCADCCDCCBCBA;;ABBABDACCBBABBCABCCCCCBBCADBCC;;201912;;201911;;15;1;;1;;1;1;1;1;30;180005373613;112;;121;;5;5;4;4;3;5;5;5;2;3;5;5;5;5;3;3;0;4;4;0;0;2;1;0;1;0;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.2;1.6;1.4;1.4;1.8;7.4;B;B;B;F;A;C;B;A;K;A;B;A;A;C;J;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCABCAACABCDAAAAAADCCACBABDA;DBBACDDBCBDBBCCACBCCBACDADAADB;ACBCBCABAADADDAABDDCDABACADACB;BDBCADDACABDACDCADCACBDABCDCAA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;29;180006209176;119;126;126;130;3;2;1;2;2;5;5;5;4;0;5;5;5;0;0;2;0;5;5;0;0;2;1;1;1;1;1
